author_name	path	target_author
アーヴィング ワシントン	person1257.html	N
アークム フレデリック	person1657.html	N
愛知 敬一	person1234.html	N
会津 八一	person1245.html	N
アインシュタイン アルベルト	person1428.html	N
饗庭 篁村	person374.html	N
青木 栄瞳	person330.html	N
青木 正児	person2091.html	N
青空文庫 	person1790.html	N
青野 季吉	person1542.html	N
青柳 喜兵衛	person1314.html	N
秋田 雨雀	person1584.html	N
秋田 滋	person1162.html	N
秋月 種樹	person1331.html	N
芥川 紗織	person1990.html	N
間所 紗織	person2085.html	N
芥川 多加志	person2132.html	N
芥川 竜之介	person879.html	N
浅井 洌	person380.html	N
朝倉 克彦	person139.html	N
浅沼 稲次郎	person1487.html	N
浅野 正恭	person1816.html	N
浅野 和三郎	person1034.html	N
東 健而	person1465.html	N
阿部 次郎	person1421.html	N
阿部 徳蔵	person225.html	N
安倍 能成	person1909.html	N
アポリネール ギヨーム	person2135.html	N
天川 恵三郎	person1964.html	N
アミーチス エドモンド・デ	person1048.html	N
鮎川 義介	person1948.html	N
新井 紀一	person1902.html	N
荒木 光二郎	person1839.html	N
アラルコン ペドロ・アントニオ	person1716.html	N
有島 武郎	person25.html	Y
アルチバシェッフ ミハイル・ペトローヴィチ	person366.html	N
アルテンベルク ペーター	person1190.html	N
アレニウス スヴァンテ	person226.html	N
アレン ジェームズ	person1842.html	N
アレン リリー・Ｌ	person1843.html	N
淡島 寒月	person388.html	N
安西 冬衛	person1863.html	N
アンデルセン ハンス・クリスチャン	person19.html	N
安藤 盛	person1791.html	N
アンドレーエフ レオニード・ニコラーエヴィチ	person907.html	N
李 光洙	person1601.html	N
李 箱	person1597.html	N
李 孝石	person1653.html	N
イ バン	person2361.html	N
飯田 蛇笏	person1695.html	N
飯田 平作	person1953.html	N
イエイツ ウィリアム・バトラー	person1085.html	N
猪狩 満直	person1626.html	N
生田 葵山	person392.html	N
生田 春月	person227.html	N
生田 長江	person393.html	N
イクバール ムハンマド	person2277.html	N
池田 亀鑑	person1413.html	N
池田 菊苗	person1160.html	N
池田 蕉園	person1351.html	N
池田 輝方	person1352.html	N
池田 勇人	person2023.html	N
池谷 信三郎	person398.html	N
池宮城 積宝	person868.html	N
井沢 衣水	person228.html	N
石井 研堂	person1252.html	N
石井 柏亭	person1381.html	N
石川 欣一	person1380.html	Y
石川 三四郎	person1170.html	N
石川 成章	person1835.html	N
石川 善助	person1787.html	N
石川 啄木	person153.html	Y
石川 千代松	person1478.html	N
石河 幹明	person1206.html	N
石田 孫太郎	person229.html	N
石塚 浩之	person1813.html	N
石波 杏	person1734.html	N
石橋 忍月	person102.html	N
石原 忍	person1742.html	N
石原 純	person1429.html	Y
石原 莞爾	person230.html	N
泉 鏡花	person50.html	Y
泉 鏡太郎	person886.html	N
泉 芳朗	person1665.html	N
五十公野 清一	person2049.html	N
板倉 勝宣	person864.html	N
伊丹 万作	person231.html	N
板谷 波山	person2089.html	N
市島 春城	person412.html	N
伊藤 永之介	person1454.html	N
伊藤 左千夫	person58.html	Y
伊東 静雄	person1197.html	N
伊藤 信二	person1642.html	N
伊東 忠太	person1232.html	N
伊藤 野枝	person416.html	Y
稲垣 巌	person1961.html	N
犬養 健	person1543.html	N
犬田 卯	person1289.html	Y
稲生  武太夫	person2199.html	N
稲生 正令	person2176.html	N
井上 円了	person1021.html	N
